mt,src,score
"I tak to stało się centrum korepetycji, centrum wydawniczym, jak to nazwaliśmy, i centrum pisania.","And so it became a tutoring center, a publishing center, as we called it, and a writing center.",4.416666667
Jednym z najbardziej fundamentalnych aktów cywilizacji jest zapewnienie ludziom wystarczającej ilości pożywienia.,One of the most fundamental acts of civilization is to provide people with enough food.,5
To jest idea obliczeń.,It is the idea of computation.,4.666666667
"Ale Piotr Arystoteles nie zgadza się z tobą, że to jest powód.",But Peter Aristotle doesn not agree with you that that is the reason.,4.25
"Sądzą, że każda rzecz w tej ryby została zmieniona.",They think every thing about this fish has been changed.,3.666666667
Robimy to bez zespołu sprzedaży i marketingu.,We do it without the sales and marketing team.,4.833333333
"Są to informacje, które są niezwykle potężne.",This is information that is incredibly powerful.,4.583333333
Nie ma procesu uczenia się.,There is not a learning process.,4.5
"To, co widzisz, to znaczna poprawa ich natychmiastowej pamięci o ich zdolności do zapamiętywania rzeczy po opóźnieniu ich zdolności kontrolowania ich uwagi, ich zdolności językowych i wizualnych zdolności przestrzennych.",And what you see are substantial improvements of their immediate memory of their ability to remember things after a delay of their ability to control their attention their language abilities and visual spatial abilities.,3.833333333
Ale co powiesz na brak rozmów w czwartki.,But how 'bout we don't talk on Thursdays.,4
"I pomyślałem, że najlepszym sposobem, jak większość z was wie, kto ma dzieci, jest posiadanie dziecka.",And I thought the best way as most of you know who have children the best way to have a new lease on life is to have a child.,3.75
"Ale mam nadzieję, że wyjdziesz na zewnątrz i zobaczysz świat w nowy sposób, aby zobaczyć całą niesamowitą synchronizację wokół nas. Dziękuję.",But I hope that you will go outside and see the world in a new way to see all the amazing synchrony around us Thank you.,4.416666667
"Pracuję w Kigali Rwanda, biegając po stromych zboczach, kiedy widzę 10 stóp przed sobą małego 11-letniego chłopca biegnącego w moim kierunku w swetrze.","I work in Kigali Rwanda, running on steep slopes when I see a little 11-year-old boy running in my direction in a sweater 10 feet in front of me.",3.916666667
"Jesteśmy jedynym gatunkiem na tej planecie, który kiedykolwiek trzymał w swoich rękach swój los.",We are the only species on this planet that has ever held their fate in their hands.,4.833333333
"Więc Chris mógłby być tutaj, wchodząc w interakcję z inną częścią lawy, podczas gdy ja trochę się tym bawię Możesz wyobrazić sobie nowy rodzaj narzędzia do rzeźbienia, w którym rozgrzewam coś, aby było plastyczne, a następnie pozwalałem mu ostygnąć i zestalić się pewien stan.",So Chris could be out here interacting with another part of Lava while I kind of play around with it here You can imagine a new kind of sculpting tool where I am kind of warming something up making it malleable and then letting it cool down and solidifying in a certain state.,3.833333333
"Natomiast jeśli uważa, że ​​proszek był trucizną, mimo że jest to naprawdę cukier, to teraz ludzie mówią, że zasługuje na dużą winę, mimo że to, co wydarzyło się w prawdziwym świecie, było dokładnie takie samo.",Whereas if she thinks the powder was poison even though it is really sugar now people say she deserves a lot of blame even though what happened in the real world was exactly the same.,4.083333333
A więc takie są konsekwencje.,So those are the consequences.,4.5
"I wspinam się w górę, odwracam się.",And up I climb I turn.,4.166666667
Tym właśnie zajmują się rośliny.,That is what plants actually do for a living.,4.583333333
"Następnie przenosi nas do współczesności mój kolega współpracownik i ekspert w dziedzinie kymatyki, John Stewart Reed.",Then bringing us into the present day is a fellow collaborator of mine and cymatics expert John Stewart Reed.,4.5
"Więzień jest dylematem to w rzeczywistości historia nałożona na matematyczną matrycę, która wyszła z teorii gier we wczesnych latach myślenia o wojnie nuklearnej dwóch graczy, którzy nie mogli sobie ufać.",The prisoner is dilemma is actually a story that is overlaid on a mathematical matrix that came out of the game theory in the early years of thinking about nuclear war two players who couldn not trust each other.,3.916666667
Chętnie opowiem na ten temat trochę więcej.,I'd be happy to tell you a little bit more about it.,4.666666667
Staraliśmy się zapobiec przedostawaniu się węgla do atmosfery.,We were trying to stop carbon from going into the atmosphere.,4.833333333
Porozmawiajmy o wrogu osadzonym w tej przestrzeni bitwy.,Let's talk about the enemy embedded in this space of battle.,4.666666667
To robi wielką różnicę.,It makes a big difference.,4.833333333
Być może nadal cierpimy z powodu psychicznego bólu i rany.,Perhaps we still suffer from a psychic pain a wound.,4.833333333
Odpowiedź Zajęło im to średnio trzy i pół minuty dłużej.,It took them an average of three and a half minutes to answer.,4.833333333
"To sześciodniowe, wciągające doświadczenie dla dzieci.",It's a six-day addictive experience for kids.,4.416666667
"Nagle rozmowa i komunikacja z estrogenami i progesteronami, mówiącymi, że jestem tutaj, aby zostać, zasadzić mnie, budując ten niesamowity trójliniowy płód, który w ciągu 44 dni staje się czymś, co można rozpoznać, a po dziewięciu tygodniach jest naprawdę czymś w rodzaju małego człowieka.",All of a sudden having conversation and communications with the estrogens the progesterones saying I am here to stay plant me building this incredible trilinear fetus that becomes within 44 days something that you can recognize and then at nine weeks is really kind of a little human being.,4.083333333
Logika jest tutaj nieco bardziej subtelna.,And the logic is a little more subtle here.,4.833333333
Pracuje z ludźmi takimi jak Murali Krishna.,He works with people like Murali Krishna.,4.833333333
A ten to replika z XV-wiecznego urządzenia.,And this one is a replica from a 15th-century device.,3.75
"Pisała, pisała i pisała i wszyscy zaczęliśmy to czytać, ponieważ mieliśmy tak mało blogów w serwisie, że mogliśmy śledzić każdego.","She wrote, wrote and wrote, and we all started reading it because we had so few blogs on the site that we could follow anyone.",4.666666667
"Wysiądź z autobusu Sprawdź, co jest inne.",Get off the bus. See what's different.,4.5
"Pozwólcie, że teraz pomówię o problemie ostatniej mili.",Let me talk to you about the problem of the last mile.,4.833333333
